authorID,authorNameCN,authorNameTC,山水,人物,花鸟,cid
AU000005,边鲁,邊魯,0,0,2,112904
AU000009,曹知白,曹知白,18,0,4,107399
AU000012,查士标,查士標,52,0,2,84775
AU000015,陈栝,陳栝,0,0,7,523881
AU000016,陈洪绶,陳洪綬,16,61,51,65496
AU000018,陈继儒,陳繼儒,4,0,15,10879
AU000022,陈居中,陳居中,2,14,2,47873
AU000023,陈琳,陳琳,1,1,5,47526
AU000024,陈清波,陳清波,1,1,0,47944
AU000025,陈容,陳容,2,0,17,25858
AU000026,陈汝言,陳汝言,9,0,0,26192
AU000030,陈子和,陳子和,1,2,3,544446
AU000031,程嘉燧,程嘉燧,5,2,3,59750
AU000033,仇英,仇英,57,85,4,388142
AU000035,崔白,崔白,1,0,15,37775
AU000037,戴进,戴進,15,17,2,133416
AU000038,戴嵩,戴嵩,0,3,6,555137
AU000041,翟院深,翟院深,1,0,0,50018
AU000043,丁野夫,丁野夫,0,1,0,100277
AU000044,丁云鹏,丁雲鵬,11,34,0,126323
AU000045,董其昌,董其昌,196,2,2,35003
AU000046,董源,董源,26,0,0,49698
AU000047,杜堇,杜堇,0,14,0,127718
AU000051,法若真,法若真,4,0,0,65869
AU000054,方从义,方從義,29,0,0,100557
AU000057,高凤翰,高鳳翰,7,2,18,144812
AU000059,高克恭,高克恭,24,0,2,106263
AU000061,高焘,高燾,1,0,0,44590
AU000065,龚开,龔開,0,5,1,28346
AU000067,顾安,顧安,0,0,9,113456
AU000069,顾闳中,顧閎中,0,1,0,39098
AU000070,顾恺之,顧愷之,0,7,0,433396
AU000075,郭畀,郭畀,2,0,1,33477
AU000077,郭忠恕,郭忠恕,16,1,0,33480
AU000078,韩干,韓幹,0,2,12,448745
AU000079,韩滉,韓滉,0,4,4,22452
AU000080,何澄,何澄,1,0,0,42094
AU000081,何浩,何浩,1,0,0,41955
AU000085,胡舜臣,胡舜臣,1,0,0,43369
AU000089,华岩,華嵒,28,20,35,74523
AU000092,黄鼎,黃鼎,16,0,1,88009
AU000093,黄公望,黃公望,32,0,1,109158
AU000094,黄居寀,黃居寀,0,0,9,41485
AU000095,黄筌,黃筌,1,0,10,41489
AU000096,黄慎,黃慎,5,18,9,338408
AU000098,黄向坚,黃向堅,1,0,0,30661
AU000102,江参,江參,6,0,0,15430
AU000103,蒋嵩,蔣嵩,4,4,0,132567
AU000106,金农,金農,0,6,97,82983
AU000107,金润,金潤,1,0,0,128747
AU000108,金廷标,金廷標,3,16,6,438091
AU000109,金铉,金鉉,2,0,0,128744
AU000110,荆浩,荊浩,8,0,0,43819
AU000114,柯九思,柯九思,2,1,7,28338
AU000117,蓝瑛,藍瑛,113,0,5,90664
AU000118,郎世宁,郎世寧,25,20,76,438092
AU000119,李安忠,李安忠,3,0,11,40612
AU000121,李成,李成,30,2,2,24294
AU000122,李迪,李迪,4,5,28,19726
AU000123,李东,李東,1,0,0,40288
AU000124,李方膺,李方膺,0,0,18,77349
AU000125,李公麟,李公麟,12,84,5,19865
AU000126,李公年,李公年,1,0,0,40920
AU000128,李结,李結,1,0,0,3482
AU000129,李衎,李衎,0,0,11,33488
AU000133,李鳝,李鱔,0,1,62,77198
AU000134,李升,李升,1,1,0,102756
AU000135,李士行,李士行,1,0,4,33492
AU000136,李世倬,李世倬,13,1,3,58842
AU000137,李思训,李思訓,9,0,0,146342
AU000139,李嵩,李嵩,17,9,5,40617
AU000140,李唐,李唐,42,8,2,40532
AU000142,李在,李在,8,3,0,127779
AU000144,李昭,李昭,0,0,1,45966
AU000145,李昭道,李昭道,15,0,0,187368
AU000147,梁楷,梁楷,14,22,7,22821
AU000149,梁师闵,梁師閔,1,0,0,46430
AU000150,林椿,林椿,0,0,22,15917
AU000153,林良,林良,0,0,30,128590
AU000156,刘寀,劉寀,0,0,1,110912
AU000157,刘贯道,劉貫道,4,7,1,111369
AU000159,刘履中,劉履中,0,2,0,52080
AU000161,刘松年,劉松年,22,51,0,52001
AU000163,柳如是,柳如是,1,0,1,511456
AU000164,卢鸿,盧鴻,1,0,0,33754
AU000167,鲁宗贵,魯宗貴,0,1,5,51639
AU000168,陆广,陸廣,4,0,1,108378
AU000170,陆行直,陸行直,0,0,1,108392
AU000173,陆治,陸治,31,4,21,130737
AU000176,罗聘,羅聘,9,14,34,82859
AU000177,罗稚川,羅稚川,2,0,3,449544
AU000180,吕纪,呂紀,3,2,56,128315
AU000181,吕敬甫,呂敬甫,0,0,3,102597
AU000183,马贲,馬賁,0,0,1,38206
AU000184,马和之,馬和之,7,20,2,44736
AU000185,马逵,馬逵,5,1,0,44019
AU000186,马麟,馬麟,14,4,28,44218
AU000188,马琬,馬琬,12,0,0,106010
AU000189,马远,馬遠,103,22,14,44099
AU000191,毛松,毛松,0,0,3,38539
AU000192,毛益,毛益,0,2,10,38515
AU000194,米芾,米芾,18,1,2,3676
AU000195,米友仁,米友仁,15,0,0,1366
AU000197,莫是龙,莫是龍,5,0,0,131108
AU000198,牟益,牟益,1,1,1,39807
AU000199,倪瓒,倪瓚,78,1,21,33468
AU000202,蒲华,蒲華,5,0,5,90679
AU000205,祁序,祁序,1,0,0,42206
AU000207,钱榖,錢榖,2,2,0,133136
AU000208,钱选,錢選,19,55,56,52320
AU000209,乔仲常,喬仲常,1,2,0,49013
AU000210,屈鼎,屈鼎,1,0,0,42186
AU000211,任仁发,任仁發,0,14,11,101824
AU000212,任贤佐,任賢佐,0,1,0,117644
AU000213,任熊,任熊,3,21,14,74446
AU000215,任颐,任頤,3,9,19,74444
AU000216,任预,任預,1,1,0,74437
AU000218,商琦,商琦,3,0,0,106343
AU000222,沈周,沈周,161,4,56,34784
AU000223,盛懋,盛懋,42,6,2,108728
AU000225,石恪,石恪,0,3,0,38563
AU000230,宋克,宋克,4,0,1,127657
AU000231,宋汝志,宋汝志,0,1,2,40220
AU000232,宋旭,宋旭,27,5,0,200243
AU000233,苏汉臣,蘇漢臣,0,23,1,45060
AU000234,苏轼,蘇軾,2,0,8,3767
AU000237,孙克弘,孫克弘,2,1,13,129723
AU000243,唐棣,唐棣,13,0,1,105194
AU000244,唐寅,唐寅,86,51,24,34868
AU000245,万寿祺,萬壽祺,9,0,4,65963
AU000246,汪士慎,汪士慎,4,0,15,79266
AU000248,王迪简,王迪簡,0,0,1,101297
AU000249,王铎,王鐸,2,0,1,71166
AU000250,王谔,王諤,5,0,0,101007
AU000251,王绂,王紱,23,1,5,34474
AU000252,王洪,王洪,7,0,0,39624
AU000253,王翚,王翬,168,0,1,65886
AU000254,王鉴,王鑒,136,0,1,65829
AU000255,王居正,王居正,0,1,0,37663
AU000259,王利用,王利用,0,1,0,1849
AU000260,王履,王履,1,0,0,10123
AU000261,王蒙,王蒙,82,1,2,100923
AU000262,王冕,王冕,0,0,12,28798
AU000263,王齐翰,王齊翰,0,6,0,38317
AU000264,王诜,王詵,18,3,1,7376
AU000265,王时敏,王時敏,92,0,3,55432
AU000266,王维,王維,11,2,1,32174
AU000270,王晓,王曉,0,0,2,37769
AU000272,王渊,王淵,3,0,49,100803
AU000273,王原祁,王原祁,139,0,1,65759
AU000274,王振鹏,王振鵬,14,13,1,101309
AU000275,韦偃,韋偃,0,1,0,450671
AU000276,卫贤,衛賢,1,0,0,335270
